treatment,city,voted02p,age,gender,party
1,DENVER,1,68,F,DEMOCRATIC
2,DENVER,1,62,M,DEMOCRATIC
2,DENVER,0,57,F,DEMOCRATIC
2,DENVER,0,54,F,DEMOCRATIC
1,DENVER,0,44,F,DEMOCRATIC
2,DENVER,1,25,F,DEMOCRATIC
2,DENVER,1,67,M,DEMOCRATIC
2,DENVER,0,62,F,DEMOCRATIC
1,DENVER,0,30,M,DEMOCRATIC
1,DENVER,0,47,F,DEMOCRATIC
1,DENVER,0,55,M,DEMOCRATIC
1,DENVER,0,42,F,REPUBLICAN
1,DENVER,0,59,F,DEMOCRATIC
1,DENVER,0,60,F,DEMOCRATIC
2,DENVER,0,75,M,DEMOCRATIC
2,DENVER,1,49,M,DEMOCRATIC
2,DENVER,0,59,M,REPUBLICAN
2,DENVER,0,51,F,REPUBLICAN
1,DENVER,1,72,F,REPUBLICAN
2,DENVER,1,78,F,REPUBLICAN
2,DENVER,1,76,F,DEMOCRATIC
1,DENVER,0,82,F,DEMOCRATIC
2,DENVER,1,78,M,REPUBLICAN
2,DENVER,1,85,M,REPUBLICAN
1,DENVER,1,71,F,REPUBLICAN
2,DENVER,0,60,F,DEMOCRATIC
1,DENVER,0,26,F,DEMOCRATIC
2,DENVER,0,52,F,DEMOCRATIC
2,DENVER,1,74,F,REPUBLICAN
1,DENVER,0,32,F,DEMOCRATIC
1,DENVER,1,81,F,REPUBLICAN
1,DENVER,0,35,F,DEMOCRATIC
1,DENVER,1,51,F,DEMOCRATIC
1,DENVER,1,40,F,DEMOCRATIC
1,DENVER,0,50,M,REPUBLICAN
2,DENVER,0,34,M,DEMOCRATIC
1,DENVER,1,66,M,DEMOCRATIC
2,DENVER,1,66,F,DEMOCRATIC
2,DENVER,1,52,F,DEMOCRATIC
2,DENVER,0,35,F,REPUBLICAN
2,DENVER,0,24,F,DEMOCRATIC
2,DENVER,0,20,M,DEMOCRATIC
2,DENVER,1,72,F,DEMOCRATIC
1,DENVER,1,33,M,DEMOCRATIC
2,DENVER,1,63,F,REPUBLICAN
2,DENVER,0,18,M,DEMOCRATIC
2,DENVER,1,76,M,REPUBLICAN
1,DENVER,1,46,F,DEMOCRATIC
2,DENVER,0,56,F,DEMOCRATIC
1,DENVER,0,37,M,REPUBLICAN
2,DENVER,1,76,F,DEMOCRATIC
2,DENVER,0,44,M,REPUBLICAN
1,DENVER,0,74,F,DEMOCRATIC
1,DENVER,1,81,M,DEMOCRATIC
2,DENVER,1,71,M,DEMOCRATIC
2,DENVER,1,49,M,DEMOCRATIC
1,DENVER,1,81,F,DEMOCRATIC
2,DENVER,0,65,F,DEMOCRATIC
1,DENVER,1,55,M,DEMOCRATIC
1,DENVER,0,38,M,DEMOCRATIC
1,DENVER,1,73,M,DEMOCRATIC
1,DENVER,0,25,F,DEMOCRATIC
1,DENVER,1,65,M,REPUBLICAN
2,DENVER,0,47,F,REPUBLICAN
2,MINNEAPOLIS,0,44,,
1,MINNEAPOLIS,1,86,,
2,MINNEAPOLIS,0,38,,
1,MINNEAPOLIS,0,75,,
1,MINNEAPOLIS,0,38,,
2,MINNEAPOLIS,1,74,,
1,MINNEAPOLIS,0,25,,
1,DENVER,0,45,F,REPUBLICAN
1,DENVER,1,21,F,DEMOCRATIC
1,MINNEAPOLIS,0,26,,
1,MINNEAPOLIS,0,42,,
2,MINNEAPOLIS,0,36,,
1,MINNEAPOLIS,0,43,,
1,DENVER,1,51,F,DEMOCRATIC
1,DENVER,1,73,M,DEMOCRATIC
2,DENVER,1,67,F,REPUBLICAN
2,MINNEAPOLIS,0,40,,
2,MINNEAPOLIS,0,60,,
1,MINNEAPOLIS,0,70,,
1,DENVER,1,82,M,REPUBLICAN
1,DENVER,1,62,M,REPUBLICAN
1,DENVER,0,75,F,DEMOCRATIC
1,DENVER,0,56,M,DEMOCRATIC
2,DENVER,0,52,M,DEMOCRATIC
2,DENVER,0,38,F,REPUBLICAN
2,DENVER,0,48,M,REPUBLICAN
1,DENVER,0,42,F,DEMOCRATIC
2,DENVER,0,60,M,DEMOCRATIC
1,DENVER,1,50,F,REPUBLICAN
2,DENVER,0,21,M,DEMOCRATIC
2,DENVER,0,75,M,DEMOCRATIC
2,DENVER,1,23,F,DEMOCRATIC
1,DENVER,0,29,F,DEMOCRATIC
2,DENVER,0,42,M,DEMOCRATIC
2,DENVER,0,60,M,REPUBLICAN
1,DENVER,0,88,M,DEMOCRATIC
2,DENVER,0,63,F,DEMOCRATIC
2,DENVER,0,80,M,DEMOCRATIC
1,DENVER,0,31,F,DEMOCRATIC
1,DENVER,0,35,F,DEMOCRATIC
1,DENVER,1,77,F,REPUBLICAN
1,DENVER,0,39,F,DEMOCRATIC
2,DENVER,1,76,F,DEMOCRATIC
1,DENVER,0,44,M,DEMOCRATIC
2,DENVER,1,82,M,DEMOCRATIC
2,DENVER,0,58,M,DEMOCRATIC
1,DENVER,1,76,M,REPUBLICAN
2,DENVER,1,53,M,REPUBLICAN
1,DENVER,0,40,F,REPUBLICAN
2,DENVER,0,51,F,DEMOCRATIC
2,DENVER,1,51,M,DEMOCRATIC
2,DENVER,1,41,F,DEMOCRATIC
1,DENVER,1,52,F,REPUBLICAN
1,DENVER,0,81,F,DEMOCRATIC
2,DENVER,0,81,F,DEMOCRATIC
1,DENVER,1,80,F,DEMOCRATIC
1,DENVER,1,55,F,REPUBLICAN
1,DENVER,1,54,M,REPUBLICAN
2,DENVER,1,82,M,DEMOCRATIC
1,DENVER,0,50,M,REPUBLICAN
2,DENVER,0,62,M,REPUBLICAN
1,DENVER,0,33,M,REPUBLICAN
1,DENVER,1,74,F,DEMOCRATIC
2,MINNEAPOLIS,0,46,,
2,DENVER,1,85,M,REPUBLICAN
2,DENVER,1,58,M,DEMOCRATIC
2,DENVER,0,45,F,REPUBLICAN
1,DENVER,0,52,M,DEMOCRATIC
2,MINNEAPOLIS,0,46,,
1,DENVER,0,39,F,REPUBLICAN
2,DENVER,1,86,F,DEMOCRATIC
1,DENVER,0,44,F,DEMOCRATIC
1,MINNEAPOLIS,1,48,,
1,DENVER,0,24,M,DEMOCRATIC
1,DENVER,1,69,F,DEMOCRATIC
1,DENVER,0,63,M,DEMOCRATIC
2,DENVER,0,65,F,REPUBLICAN
2,DENVER,0,40,M,DEMOCRATIC
1,DENVER,1,28,F,DEMOCRATIC
2,DENVER,0,26,M,DEMOCRATIC
1,DENVER,0,43,M,DEMOCRATIC
2,DENVER,1,78,M,DEMOCRATIC
2,DENVER,0,52,M,DEMOCRATIC
1,DENVER,0,53,F,DEMOCRATIC
1,DENVER,0,59,M,DEMOCRATIC
2,DENVER,1,83,F,DEMOCRATIC
1,DENVER,1,64,M,DEMOCRATIC
1,DENVER,0,46,M,DEMOCRATIC
2,DENVER,0,46,M,REPUBLICAN
2,DENVER,0,47,M,REPUBLICAN
1,DENVER,0,65,M,DEMOCRATIC
1,DENVER,1,52,M,DEMOCRATIC
2,DENVER,0,39,M,DEMOCRATIC
1,DENVER,0,53,M,DEMOCRATIC
2,DENVER,1,58,F,DEMOCRATIC
2,DENVER,0,45,M,DEMOCRATIC
1,DENVER,1,61,F,DEMOCRATIC
2,DENVER,0,49,F,DEMOCRATIC
2,MINNEAPOLIS,0,31,,
1,DENVER,0,71,M,REPUBLICAN
1,MINNEAPOLIS,0,45,,
2,MINNEAPOLIS,0,77,,
1,DENVER,0,39,M,REPUBLICAN
2,MINNEAPOLIS,0,69,,
1,DENVER,1,48,M,DEMOCRATIC
2,DENVER,0,44,F,DEMOCRATIC
2,MINNEAPOLIS,0,34,,
2,DENVER,0,42,M,REPUBLICAN
1,DENVER,1,37,M,DEMOCRATIC
1,MINNEAPOLIS,0,34,,
2,DENVER,0,58,M,DEMOCRATIC
2,DENVER,1,64,M,REPUBLICAN
2,MINNEAPOLIS,0,42,,
2,DENVER,1,70,F,DEMOCRATIC
2,MINNEAPOLIS,0,66,,
2,DENVER,0,78,M,REPUBLICAN
2,DENVER,0,49,F,DEMOCRATIC
1,DENVER,0,44,F,DEMOCRATIC
1,MINNEAPOLIS,1,46,,
2,DENVER,0,86,F,REPUBLICAN
2,DENVER,0,39,M,DEMOCRATIC
2,DENVER,0,56,F,REPUBLICAN
2,DENVER,1,76,M,DEMOCRATIC
1,DENVER,1,81,F,REPUBLICAN
2,DENVER,0,30,F,DEMOCRATIC
2,DENVER,0,57,M,DEMOCRATIC
1,DENVER,1,74,M,DEMOCRATIC
1,DENVER,1,48,F,DEMOCRATIC
1,DENVER,0,52,F,REPUBLICAN
2,DENVER,0,57,F,DEMOCRATIC
2,DENVER,0,47,M,REPUBLICAN
2,DENVER,0,77,F,REPUBLICAN
2,DENVER,1,78,F,DEMOCRATIC
1,DENVER,1,39,F,DEMOCRATIC
2,MINNEAPOLIS,1,46,,
2,MINNEAPOLIS,0,40,,
2,MINNEAPOLIS,0,46,,
1,MINNEAPOLIS,0,47,,
1,MINNEAPOLIS,0,60,,
1,MINNEAPOLIS,0,46,,
1,MINNEAPOLIS,0,85,,
1,MINNEAPOLIS,1,37,,
1,DENVER,1,41,M,DEMOCRATIC
2,DENVER,0,39,M,DEMOCRATIC
2,DENVER,0,36,F,DEMOCRATIC
2,MINNEAPOLIS,0,52,,
1,MINNEAPOLIS,0,57,,
1,DENVER,1,59,F,DEMOCRATIC
1,MINNEAPOLIS,1,38,,
1,MINNEAPOLIS,0,43,,
2,DENVER,0,68,F,REPUBLICAN
2,DENVER,0,74,M,DEMOCRATIC
2,DENVER,1,42,F,DEMOCRATIC
1,DENVER,0,48,F,DEMOCRATIC
2,MINNEAPOLIS,0,35,,
1,MINNEAPOLIS,0,46,,
1,DENVER,0,37,F,REPUBLICAN
1,DENVER,1,36,M,DEMOCRATIC
1,DENVER,1,65,M,REPUBLICAN
1,DENVER,0,34,M,DEMOCRATIC
2,DENVER,1,53,M,DEMOCRATIC
1,DENVER,1,74,M,DEMOCRATIC
2,DENVER,0,37,M,REPUBLICAN
2,DENVER,1,68,F,DEMOCRATIC
2,MINNEAPOLIS,0,34,,
2,MINNEAPOLIS,1,34,,
2,DENVER,0,72,F,DEMOCRATIC
1,DENVER,1,33,F,DEMOCRATIC
1,DENVER,0,33,M,DEMOCRATIC
2,DENVER,0,31,M,DEMOCRATIC
2,MINNEAPOLIS,0,32,,
2,DENVER,1,76,F,DEMOCRATIC
1,DENVER,1,52,M,DEMOCRATIC
2,DENVER,0,43,F,REPUBLICAN
1,DENVER,0,26,F,DEMOCRATIC
2,DENVER,0,34,F,DEMOCRATIC
2,DENVER,1,54,M,DEMOCRATIC
1,DENVER,0,36,M,DEMOCRATIC
2,DENVER,1,40,M,REPUBLICAN
2,DENVER,0,77,F,DEMOCRATIC
1,DENVER,1,33,F,DEMOCRATIC
1,DENVER,1,63,M,DEMOCRATIC
2,DENVER,0,28,M,DEMOCRATIC
2,DENVER,0,52,M,REPUBLICAN
1,DENVER,1,89,M,DEMOCRATIC
1,DENVER,0,74,F,DEMOCRATIC
2,DENVER,0,62,M,DEMOCRATIC
2,DENVER,1,47,F,DEMOCRATIC
1,DENVER,1,56,F,DEMOCRATIC
1,DENVER,1,71,F,DEMOCRATIC
2,DENVER,0,22,F,REPUBLICAN
2,MINNEAPOLIS,1,42,,
2,MINNEAPOLIS,0,29,,
1,MINNEAPOLIS,1,52,,
2,MINNEAPOLIS,0,36,,
1,DENVER,1,60,F,DEMOCRATIC
1,DENVER,0,50,F,DEMOCRATIC
2,DENVER,1,81,M,REPUBLICAN
1,DENVER,0,56,F,DEMOCRATIC
1,DENVER,1,54,F,DEMOCRATIC
2,DENVER,0,77,F,REPUBLICAN
2,DENVER,0,40,F,REPUBLICAN
1,DENVER,1,47,F,REPUBLICAN
2,DENVER,0,79,M,DEMOCRATIC
1,MINNEAPOLIS,1,56,,
1,DENVER,0,69,M,DEMOCRATIC
1,MINNEAPOLIS,0,45,,
2,DENVER,1,51,M,REPUBLICAN
2,DENVER,1,82,F,DEMOCRATIC
1,DENVER,1,84,M,REPUBLICAN
2,DENVER,1,80,F,DEMOCRATIC
1,DENVER,1,80,M,DEMOCRATIC
1,DENVER,1,48,M,REPUBLICAN
2,DENVER,1,66,F,REPUBLICAN
1,DENVER,1,50,F,DEMOCRATIC
2,DENVER,1,83,F,DEMOCRATIC
1,DENVER,1,82,F,DEMOCRATIC
1,DENVER,0,65,F,REPUBLICAN
2,DENVER,1,86,F,REPUBLICAN
2,DENVER,0,74,M,DEMOCRATIC
1,DENVER,0,32,M,DEMOCRATIC
1,DENVER,1,86,M,DEMOCRATIC
2,DENVER,0,44,M,DEMOCRATIC
1,MINNEAPOLIS,0,38,,
1,DENVER,1,55,M,REPUBLICAN
2,MINNEAPOLIS,1,85,,
2,DENVER,1,48,M,DEMOCRATIC
2,DENVER,1,75,F,REPUBLICAN
2,MINNEAPOLIS,0,52,,
2,DENVER,1,85,M,DEMOCRATIC
2,DENVER,1,56,F,REPUBLICAN
1,DENVER,0,39,F,DEMOCRATIC
1,MINNEAPOLIS,0,51,,
1,DENVER,1,75,F,DEMOCRATIC
2,DENVER,1,38,M,DEMOCRATIC
1,DENVER,0,59,M,REPUBLICAN
2,MINNEAPOLIS,0,63,,
1,MINNEAPOLIS,0,47,,
2,DENVER,0,53,M,DEMOCRATIC
2,DENVER,0,39,F,DEMOCRATIC
2,DENVER,1,61,M,DEMOCRATIC
1,MINNEAPOLIS,0,40,,
1,DENVER,0,40,M,DEMOCRATIC
2,DENVER,0,56,F,DEMOCRATIC
2,DENVER,0,36,M,REPUBLICAN
1,MINNEAPOLIS,0,35,,
1,DENVER,0,52,M,DEMOCRATIC
2,DENVER,1,64,M,DEMOCRATIC
1,DENVER,0,73,F,DEMOCRATIC
1,MINNEAPOLIS,1,50,,
1,DENVER,1,36,F,REPUBLICAN
2,MINNEAPOLIS,0,47,,
1,DENVER,1,53,F,DEMOCRATIC
2,DENVER,0,48,F,DEMOCRATIC
1,DENVER,0,62,F,DEMOCRATIC
2,DENVER,1,81,F,REPUBLICAN
2,DENVER,0,34,F,DEMOCRATIC
1,DENVER,1,84,F,DEMOCRATIC
2,DENVER,0,28,F,DEMOCRATIC
1,DENVER,1,82,F,DEMOCRATIC
2,DENVER,0,59,M,DEMOCRATIC
1,DENVER,0,27,F,DEMOCRATIC
2,DENVER,0,53,M,DEMOCRATIC
1,DENVER,0,30,F,DEMOCRATIC
1,DENVER,1,78,M,DEMOCRATIC
2,DENVER,0,78,F,REPUBLICAN
1,DENVER,1,75,F,DEMOCRATIC
1,DENVER,0,75,M,DEMOCRATIC
2,DENVER,0,71,F,DEMOCRATIC
1,DENVER,0,40,F,REPUBLICAN
2,DENVER,1,45,M,DEMOCRATIC
2,DENVER,1,47,M,REPUBLICAN
1,DENVER,1,55,F,REPUBLICAN
1,DENVER,1,78,M,REPUBLICAN
2,DENVER,0,35,F,DEMOCRATIC
1,DENVER,1,67,M,DEMOCRATIC
1,DENVER,0,40,M,DEMOCRATIC
1,DENVER,0,73,F,DEMOCRATIC
1,DENVER,0,60,M,DEMOCRATIC
2,MINNEAPOLIS,0,39,,
1,MINNEAPOLIS,0,55,,
2,DENVER,1,75,F,REPUBLICAN
2,DENVER,0,66,F,DEMOCRATIC
2,DENVER,0,55,F,REPUBLICAN
1,DENVER,0,72,F,DEMOCRATIC
1,DENVER,0,79,F,REPUBLICAN
1,DENVER,0,55,M,REPUBLICAN
2,DENVER,0,44,F,REPUBLICAN
2,MINNEAPOLIS,0,65,,
1,DENVER,1,72,F,DEMOCRATIC
1,DENVER,0,85,F,REPUBLICAN
1,DENVER,0,41,F,REPUBLICAN
1,DENVER,1,79,F,REPUBLICAN
1,DENVER,1,64,F,DEMOCRATIC
2,DENVER,0,55,M,REPUBLICAN
1,DENVER,1,80,F,REPUBLICAN
1,DENVER,1,34,F,REPUBLICAN
2,DENVER,1,65,M,DEMOCRATIC
2,MINNEAPOLIS,1,70,,
1,MINNEAPOLIS,0,32,,
2,DENVER,0,36,F,REPUBLICAN
1,DENVER,0,78,M,REPUBLICAN
2,DENVER,1,76,M,DEMOCRATIC
1,DENVER,1,80,M,REPUBLICAN
1,DENVER,0,34,M,DEMOCRATIC
1,DENVER,1,46,F,DEMOCRATIC
1,DENVER,0,60,M,DEMOCRATIC
2,DENVER,0,63,F,DEMOCRATIC
1,DENVER,1,57,F,DEMOCRATIC
2,DENVER,1,71,M,REPUBLICAN
2,DENVER,0,79,M,DEMOCRATIC
2,DENVER,1,46,M,REPUBLICAN
1,DENVER,1,80,M,REPUBLICAN
2,DENVER,0,33,F,REPUBLICAN
1,DENVER,1,73,F,REPUBLICAN
2,DENVER,1,74,F,DEMOCRATIC
1,DENVER,0,82,M,REPUBLICAN
1,DENVER,1,71,M,REPUBLICAN
2,DENVER,1,52,M,DEMOCRATIC
2,MINNEAPOLIS,0,21,,
1,DENVER,1,66,M,DEMOCRATIC
1,DENVER,0,72,F,REPUBLICAN
1,MINNEAPOLIS,1,54,,
1,DENVER,1,60,M,REPUBLICAN
2,DENVER,1,80,M,DEMOCRATIC
1,MINNEAPOLIS,0,30,,
1,DENVER,1,61,F,DEMOCRATIC
1,MINNEAPOLIS,1,70,,
2,DENVER,1,35,F,DEMOCRATIC
2,MINNEAPOLIS,0,35,,
1,MINNEAPOLIS,1,82,,
1,DENVER,0,77,M,REPUBLICAN
1,DENVER,1,41,F,DEMOCRATIC
2,DENVER,0,35,F,REPUBLICAN
1,MINNEAPOLIS,0,20,,
2,DENVER,0,67,M,DEMOCRATIC
1,MINNEAPOLIS,0,54,,
1,MINNEAPOLIS,0,31,,
2,MINNEAPOLIS,0,46,,
1,MINNEAPOLIS,0,42,,
2,MINNEAPOLIS,0,50,,
2,MINNEAPOLIS,0,30,,
2,MINNEAPOLIS,0,48,,
1,DENVER,1,30,F,REPUBLICAN
2,DENVER,0,55,F,DEMOCRATIC
2,MINNEAPOLIS,0,39,,
1,MINNEAPOLIS,0,29,,
1,DENVER,1,37,F,REPUBLICAN
1,DENVER,0,48,M,REPUBLICAN
2,DENVER,0,74,M,DEMOCRATIC
1,MINNEAPOLIS,0,54,,
1,DENVER,1,33,M,DEMOCRATIC
1,DENVER,0,58,M,REPUBLICAN
1,DENVER,0,38,F,DEMOCRATIC
2,DENVER,0,91,M,DEMOCRATIC
2,DENVER,0,37,M,DEMOCRATIC
2,DENVER,1,72,F,REPUBLICAN
1,DENVER,0,86,F,DEMOCRATIC
2,DENVER,0,67,F,DEMOCRATIC
1,DENVER,1,74,F,REPUBLICAN
1,DENVER,0,60,F,DEMOCRATIC
1,DENVER,0,25,F,DEMOCRATIC
1,DENVER,0,38,M,DEMOCRATIC
2,DENVER,0,75,F,REPUBLICAN
2,DENVER,0,42,F,DEMOCRATIC
2,DENVER,1,61,M,REPUBLICAN
1,DENVER,1,76,M,REPUBLICAN
1,DENVER,0,74,M,DEMOCRATIC
2,DENVER,1,79,M,DEMOCRATIC
2,DENVER,0,37,M,REPUBLICAN
1,DENVER,1,56,M,REPUBLICAN
2,DENVER,1,44,F,REPUBLICAN
2,DENVER,1,82,M,DEMOCRATIC
1,DENVER,1,78,M,DEMOCRATIC
2,DENVER,0,34,F,DEMOCRATIC
2,DENVER,1,76,M,DEMOCRATIC
2,DENVER,1,73,M,REPUBLICAN
2,DENVER,1,48,M,REPUBLICAN
2,MINNEAPOLIS,0,38,,
1,DENVER,0,32,M,DEMOCRATIC
1,DENVER,0,35,F,DEMOCRATIC
1,MINNEAPOLIS,1,55,,
1,MINNEAPOLIS,1,40,,
1,MINNEAPOLIS,0,48,,
2,MINNEAPOLIS,0,43,,
1,MINNEAPOLIS,0,52,,
1,MINNEAPOLIS,0,32,,
2,DENVER,1,76,F,REPUBLICAN
2,MINNEAPOLIS,0,21,,
